[Name],,,,,,
Series 1 at /LINE:Outlet,,,,,,
,,,,,,
[Data],,,,Simulated,CEA,Analytical
Y [ m ],Mach Number,,Average M,2.765,2.749,
0.0312206,0.039837185,,error,,0.576693412,
0.03058988,2.31750178,,,,,
0.029959161,2.67876267,,,,,
0.029328441,2.69335461,,,,,
0.028697722,2.68813705,,,,,
0.028067002,2.68413496,,,,,
0.027436283,2.68083143,,,,,
0.026805563,2.67861366,,,,,
0.026174843,2.67688966,,,,,
0.025544124,2.67566943,,,,,
0.024913404,2.67476416,,,,,
0.024282685,2.67419767,,,,,
0.023651965,2.67393684,,,,,
0.023021245,2.67414808,,,,,
0.022390526,2.67508292,,,,,
0.021759806,2.67687964,,,,,
0.021129087,2.67804861,,,,,
0.020498367,2.68106461,,,,,
0.019867647,2.6830492,,,,,
0.019236928,2.68541694,,,,,
0.018606208,2.69120121,,,,,
0.017975489,2.69509125,,,,,
0.017344769,2.69968605,,,,,
0.01671405,2.7050693,,,,,
0.01608333,2.71766877,,,,,
0.01545261,2.72604418,,,,,
0.014821891,2.73570228,,,,,
0.014191171,2.74711132,,,,,
0.013560452,2.76595068,,,,,
0.012929732,2.81228542,,,,,
0.012299012,2.90518236,,,,,
0.011668293,3.01199079,,,,,
0.011037573,3.07240534,,,,,
0.010406854,3.07480526,,,,,
0.009776134,3.07841134,,,,,
0.009145414,3.06322336,,,,,
0.008514695,3.04708862,,,,,
0.007883975,3.03522873,,,,,
0.007253256,3.02649355,,,,,
0.006622537,3.02573419,,,,,
0.005991818,3.01843476,,,,,
0.005361099,3.01166964,,,,,
0.00473038,3.01107621,,,,,
0.004099661,3.00492644,,,,,
0.003468941,2.99961042,,,,,
0.002838222,2.99528623,,,,,
0.002207503,2.99497843,,,,,
0.001576784,2.99181151,,,,,
0.000946065,2.99160242,,,,,
0.000315346,2.99657393,,,,,
